Ticker and Top 10 Smallest DTW Values
"MMM: FE (39.123743000000005), MO (39.59057899999998), CPB (45.47594800000001), DD (46.144327), IP (49.03760599999984), C (49.56037100000007), MTB (49.89352700000007), PNW (50.081526), LVS (50.14654700000003), CTSH (50.20816500000011)"
"HOLX: XEL (33.18238599999997), WEC (33.21800799999996), CMS (35.67594400000008), PEP (37.001761000000016), ALLE (37.33520500000005), VMC (37.48520199999992), BRK-B (37.78410199999991), CHD (38.261421), MNST (38.554531), LNT (38.5678290000001)"
"HD: NDAQ (19.858766), SHW (20.357737000000007), IQV (20.46233199999997), ADI (22.552331), RSG (22.643666), AVY (23.09791800000002), DOV (23.18238300000005), LOW (23.323223999999986), MCO (23.706199000000016), TMUS (23.78112)"
"HON: ALL (25.81329800000005), COO (26.261199000000023), SBUX (27.038911999999883), CMCSA (28.840784999999997), YUM (29.66735400000003), ARE (30.35747399999996), APD (30.436877000000024), LNT (31.869222999999973), JPM (32.125192000000006), ALLE (32.29897699999999)"
"HRL: DUK (36.84716500000004), BDX (38.81736599999996), KO (40.09814800000007), PEG (40.17581799999993), ES (40.365023000000015), CMCSA (40.47615800000018), O (40.870260999999886), BF-B (42.070937999999984), WTW (43.66899100000006), JNJ (43.68894399999995)"
"HST: WAB (48.68980100000004), MO (52.81991799999999), CPB (53.88001000000008), CTSH (55.074875000000034), WFC (55.44934599999988), MMM (55.48336699999987), VTR (56.80665999999997), BWA (58.04129899999996), PEAK (60.22122100000008), STT (60.333343000000085)"
"HPQ: SCHW (24.99552200000001), FITB (27.39409399999996), RJF (28.00522699999996), APH (29.19635400000003), RVTY (30.027908000000032), ROK (31.825825999999964), BLK (32.26112999999997), CBRE (32.574242000000034), ITW (33.14801099999999), HLT (33.68452900000003)"
"HUBB: GWW (21.002056000000035), ACGL (29.304502999999983), PHM (31.24286400000001), ETN (32.42515899999996), AZO (35.376377), ORLY (36.73276300000004), NUE (37.71223699999992), ORCL (37.877642), PCAR (38.37564799999993), HSY (39.36067700000002)"
"HUM: ITW (26.77630099999995), TJX (29.495086999999973), AFL (29.601371000000025), NOC (29.960548000000035), ADP (30.09694000000005), AME (30.428584000000004), WRB (30.45232499999996), WMT (31.345027999999957), PAYX (31.39505199999995), MMC (31.50657800000001)"
"HBAN: TFC (28.731309999999965), NTRS (30.039917999999982), PRU (32.73139699999994), GD (39.334183), HIG (44.10801899999997), EMN (44.18663299999998), BK (44.34719099999991), L (44.6865739999999), CNP (45.48644299999994), RTX (47.09741399999992)"
"HII: FIS (48.00494600000002), CNP (51.04384299999997), INTC (52.01734500000007), AMGN (53.51239700000002), FLT (55.30834099999996), NI (55.796584), PNW (57.17366799999995), ED (57.20070199999994), AEP (59.02640299999994), GL (59.65873800000008)"
"IBM: OMC (41.89721700000008), SJM (43.486651999999935), L (48.48692800000003), RTX (49.44484799999986), HSIC (50.64890899999993), JNPR (51.344259000000136), K (52.39409800000003), LYB (53.41057), CTSH (54.03155299999993), RL (54.30531700000003)"
"IEX: ROP (22.24212899999996), SYK (23.07735099999997), CE (23.263064999999973), PAYX (23.558605999999987), ICE (24.123965000000023), ABT (24.61565800000001), FDS (25.27839599999998), V (25.50931399999998), DLR (26.136425000000024), JPM (26.26474499999991)"
"IDXX: INTU (21.10326799999996), EPAM (21.86507199999998), MSCI (22.064745000000052), POOL (22.61067299999998), ADBE (23.050392), MPWR (24.019252000000023), TER (24.12281800000001), MSFT (24.124008000000003), NOW (24.478637999999982), ZBRA (26.033567999999978)"
"ITW: APH (20.78046), PAYX (21.51811400000005), MCD (23.173028000000038), ADP (23.215378000000005), UNP (24.35176499999996), ABT (24.37966499999996), SYK (24.690021), ROK (24.979195000000026), BLK (25.499571999999976), AIZ (25.544141999999944)"
"ILMN: KMX (41.82439500000005), BKNG (45.549924999999966), AES (46.33040100000007), UNP (46.95645700000007), HON (47.28513699999985), MAR (47.69285100000001), CFG (48.622768000000086), APD (48.660952), AXP (48.98818700000003), PKG (49.02272599999996)"
"INCY: MHK (61.27625799999996), RCL (65.35958500000007), ALK (69.42788699999993), WYNN (75.2902650000002), DAL (77.17610899999994), UAL (78.69255400000003), TAP (86.34946000000006), CTRA (91.58716999999984), WDC (96.95295000000004), BIIB (101.3671169999999)"
"PODD: EPAM (23.810914999999994), MPWR (24.62061799999997), POOL (25.51790500000001), MSFT (25.79545999999996), MSCI (26.253661000000005), FTNT (27.11174499999998), AMAT (28.743918000000026), IDXX (28.974365), NOW (29.739416000000023), ODFL (31.79795399999997)"
"INTC: FIS (36.425941999999935), ROST (39.690636000000005), WMT (40.83649799999989), HOLX (42.22084100000001), APD (43.24367899999999), ALLE (43.69283500000011), FI (44.92373200000002), SO (45.39076699999994), ETR (45.42916300000001), EVRG (45.79043900000005)"
"ICE: ARE (23.406955999999973), EXPD (23.59135299999999), IEX (24.123965000000023), FDS (25.01599399999996), CPT (25.794841000000037), YUM (26.717924999999976), ROP (27.201686000000013), PAYX (27.37759699999999), SYK (28.788543000000026), AEE (29.11105799999999)"
"IFF: CL (40.13052300000008), D (53.48088699999995), CTSH (56.41914699999986), MO (58.13319799999999), PPL (60.198484), MMM (61.40823899999997), VZ (61.54906399999995), EIX (66.4320339999999), PEAK (68.33203099999997), T (68.50320200000007)"
"IP: LYB (33.333931000000014), TXT (38.45709699999992), STT (41.55460200000002), WY (42.83650200000008), ESS (45.22350099999989), RTX (45.54403499999997), L (45.80242500000001), CTSH (45.87326499999992), BK (46.00160900000002), CHRW (46.37165399999985)"
"IPG: PSA (28.56151899999999), JCI (29.625078999999992), UPS (31.125662999999967), COF (31.737591999999957), PG (35.67620899999997), PEP (36.71203699999988), HOLX (38.637319000000026), APTV (38.72099799999998), CHD (39.738915999999904), XEL (39.82308699999996)"
"INTU: KEYS (18.873470000000022), POOL (18.95852299999999), IDXX (21.10326799999996), AAPL (22.099345000000017), MSFT (22.19975599999995), WST (22.311414999999982), CRL (22.44513600000001), ADBE (22.816566000000005), ZBRA (23.73126700000001), AMZN (24.217080000000006)"
"ISRG: KEYS (22.749385000000046), TECH (24.47056399999997), ZTS (24.537431999999985), DPZ (25.49482600000005), DHR (26.055549999999982), RMD (26.136485999999987), INTU (26.152733000000023), CRL (26.625953999999965), GOOG (26.727130999999957), BIO (27.779894999999996)"
"IVZ: BEN (53.45454400000015), BKR (57.05857600000008), BWA (69.29548400000006), VTR (70.239225), WFC (76.26818700000007), SPG (78.93723400000017), HST (84.68349200000016), WMB (86.30212199999968), BXP (86.98709199999996), MHK (88.03173799999985)"
"IQV: EL (18.91083999999999), ADI (19.31746400000001), HD (20.46233199999997), TXN (21.18444500000001), SHW (22.00481299999997), DOV (22.185658999999944), AON (22.23687400000003), AVY (22.571157999999983), MAA (23.045117000000044), PAYX (24.12125600000007)"
"IRM: ORCL (21.52607900000004), PCAR (30.741491), ADM (31.046890000000044), COP (33.43595099999997), AZO (34.14581199999992), ORLY (34.78263099999989), LEN (36.38767199999998), MRK (36.93315899999998), PH (38.6406380000001), HSY (40.63411799999996)"
"JBHT: TEL (21.240884000000023), LH (24.99399700000007), ARE (26.97816699999996), APTV (27.33335200000004), PSA (28.238084999999952), BLK (28.399897000000017), CPT (29.73333800000001), WMT (30.15220500000003), RHI (31.398595000000007), PKG (31.503963999999986)"
"JKHY: VRSK (24.618126999999944), SYK (30.634152000000054), ROP (30.794668000000005), ATO (33.62574700000002), MCD (34.92586899999996), CME (35.13366799999998), AEE (36.17024299999994), V (36.172750999999984), ITW (37.04456200000003), FI (37.17087900000005)"
"J: DOV (21.733652000000024), PAYX (22.660526999999988), ADP (22.725619000000023), NSC (23.01924800000007), WM (23.02277700000002), ABT (23.54088199999997), LOW (23.814523999999995), NDSN (23.92338500000001), VRSK (25.247829999999983), AON (26.447649999999932)"
"JNJ: WTW (28.256236999999956), PEG (28.50544900000002), ES (28.78760000000006), NI (29.89469599999998), DUK (30.541801999999954), BF-B (31.948467000000008), EVRG (32.47754099999995), BDX (34.16771000000001), MDLZ (35.84353499999996), PEP (36.19858100000004)"
"JCI: NXPI (25.565347000000006), UPS (27.741937999999934), RHI (29.377817999999998), IPG (29.625078999999992), APTV (30.15384000000002), PSA (30.90483700000004), COF (32.679002999999945), BLK (34.13361899999995), JBHT (35.839084000000106), EFX (35.925936)"
"JPM: CE (25.060216000000025), IEX (26.26474499999991), ARE (29.30454700000003), BAC (30.11528299999997), YUM (30.543061), CPT (31.501776999999954), ROP (31.67252199999998), ICE (32.03252399999999), HON (32.125192000000006), KDP (32.59406199999987)"
"JNPR: OMC (39.66049399999993), SEE (40.996470000000045), SJM (41.05656400000012), WY (44.37280199999997), AVB (45.54508799999999), EQR (48.58199400000002), PPG (48.96218500000017), L (50.08895800000002), BMY (51.24810100000008), IBM (51.344259000000136)"
"K: CAG (41.86277799999994), CTSH (45.434231999999945), D (45.66198600000012), T (45.99901399999995), MO (46.15252900000008), CPB (47.23313200000001), EIX (47.56881200000004), PPL (48.53958800000011), IBM (52.39409800000003), MMM (53.89011899999996)"
"KDP: IEX (26.55098299999997), MCD (27.40462799999998), SYK (28.052615000000024), ICE (29.120841000000038), NSC (29.654577000000018), ABT (30.17003600000005), V (30.527385000000024), FDS (30.52811399999998), STE (30.651673), VRSK (31.866355999999985)"
"KEY: CFG (29.71834900000002), EMR (31.006378000000048), MGM (34.06131799999998), GLW (34.353527999999976), ZION (37.05458599999999), PFE (41.37101199999985), BKNG (41.66975699999994), EXPE (41.94779799999988), MET (42.608319999999885), HIG (43.09986800000005)"
"KEYS: INTU (18.873470000000022), TECH (21.31240499999999), BX (21.929948), CRL (22.73526500000001), ISRG (22.749385000000046), ZTS (23.506621), LULU (24.77543700000001), CDW (26.52461099999997), ADSK (26.78093399999995), ADBE (26.925508000000026)"
"KMB: D (29.52545999999997), VZ (33.76579599999999), AMCR (38.90827699999994), HSIC (46.14279700000007), AVB (46.87281000000005), PM (50.66081500000008), DUK (50.78406299999989), USB (50.94883899999998), BK (51.27767199999997), EQR (51.83368599999992)"
"KIM: AIG (35.55891999999986), STT (54.89346199999995), CVS (61.53485499999993), SEE (62.38139999999993), WAB (62.69175), XRAY (65.39242800000002), RL (65.85821499999987), IBM (68.53737099999991), PM (69.8451300000001), JNPR (69.89530399999983)"
"KMI: CTRA (73.34580499999988), SLB (81.20476299999999), WMB (83.88583299999985), CAH (86.20056199999972), WBA (89.26584200000003), MRO (92.18735200000008), BKR (92.23652999999987), APA (108.40085699999992), EQT (111.962505), CVX (113.17434400000016)"
"KLAC: SNPS (17.637393000000024), ODFL (20.28488799999997), CPRT (22.06685300000003), CDNS (23.134949000000013), MSFT (23.30282099999998), FTNT (23.76863800000001), AVGO (23.822752000000023), MPWR (25.416486999999982), ANET (27.45214999999995), ON (27.65231800000001)"
"KR: GIS (36.41130699999997), BG (40.14221500000011), COR (42.01907900000016), REGN (42.39372800000009), XOM (51.92067400000004), MET (59.33287200000001), LKQ (61.06517099999993), AMGN (61.66217600000005), PXD (62.4934649999999), SWKS (63.74414700000025)"
"LHX: V (23.42952499999997), AON (24.88052499999999), SYK (29.83967400000005), CME (30.11151099999997), SHW (30.49169399999996), STE (30.584185000000005), BR (30.669598999999938), WRB (31.380236999999937), MCD (31.463264000000056), APH (31.60775600000004)"
"LH: TEL (22.53683600000001), JBHT (24.99399700000007), PFE (25.684882000000037), GS (26.15172199999998), COF (27.424904000000016), PNC (27.59740999999997), DFS (27.89433200000001), CB (29.36142000000001), DGX (29.88283200000001), VMC (30.27644900000003)"
"LRCX: AMAT (21.15420800000002), FTNT (23.3036), TER (23.77510000000003), MSCI (24.06617699999999), MPWR (24.61844600000001), MSFT (26.355854999999973), ODFL (26.46379299999996), NOW (27.034237), POOL (27.32741400000005), IDXX (27.67532299999997)"
"LVS: MMM (50.14654700000003), VFC (52.36470700000015), LUV (63.446630999999954), PNW (68.69441400000007), HII (71.39476099999985), FE (72.07547699999994), MTB (76.16424599999998), RCL (76.65885899999999), C (76.73742699999981), DAL (77.00332399999998)"
"LDOS: DG (29.411613000000017), V (30.69029099999999), ROL (32.33915999999998), ADI (32.61773199999996), CRM (32.85840600000002), MMC (33.17865399999995), NKE (33.66548399999993), ADP (34.68582100000008), MA (34.69423200000002), GPN (34.700699999999976)"
"LEN: EBAY (32.90814499999993), ADM (35.896721999999954), IRM (36.38767199999998), NXPI (36.82555400000005), TJX (38.816327), EFX (40.04025499999999), JCI (41.109175), AME (42.57227500000007), AMP (42.84455400000002), GEN (42.887047)"
"LIN: MMC (16.210536000000022), RSG (18.462499), ADP (21.572332999999997), ACN (22.854084999999976), ELV (23.82695900000001), PH (24.20069599999996), COST (24.29272099999993), AZO (25.22663299999995), ADI (25.80986200000002), HCA (26.23111500000008)"
"LYV: PLD (25.578316), RMD (25.594814), ZTS (25.85896600000002), IQV (27.387051999999983), EL (28.903399000000032), TMO (29.62610899999997), NDAQ (29.69645099999995), BRO (30.009823999999977), UNH (30.03752800000001), GRMN (30.336925000000047)"
"LKQ: CB (34.63903000000003), HIG (37.07242300000006), FFIV (37.4910789999999), AOS (37.57817500000002), PNR (38.18461300000006), EMN (38.29688400000004), LH (38.31716700000006), VMC (41.06867799999997), MGM (41.79414699999998), SYF (43.02355800000006)"
"LMT: TJX (27.52838799999998), BKNG (33.973105999999994), CBOE (34.68009799999996), BSX (35.28168800000004), EXC (35.78922500000006), AFL (36.27577600000006), MAR (36.70935699999992), PAYX (36.73480300000001), WRB (36.963877999999966), FDS (39.65504699999992)"
"L: RTX (30.308319000000058), AMCR (32.49548900000019), OMC (33.90226899999995), PRU (34.31693100000003), CHRW (34.440277999999914), DUK (35.98084699999999), KO (38.430707000000055), BK (39.19663299999996), PPG (39.556244000000014), SJM (40.62649900000008)"
"LOW: EXR (20.943973), HD (23.323223999999986), J (23.814523999999995), GOOGL (24.217793000000004), ACN (24.28459400000001), WM (24.66068699999998), AWK (24.822494000000027), SHW (25.28462499999999), NDAQ (25.56639200000001), GOOG (25.954968999999984)"
"LULU: ADBE (23.21241599999995), KEYS (24.77543700000001), INTU (27.78536000000001), IDXX (28.17608399999998), NOW (28.70092700000002), CTAS (32.89006999999993), TER (32.93629700000002), ODFL (33.44723300000004), EPAM (33.712967999999975), ISRG (34.14006500000001)"
"LYB: IP (33.333931000000014), WY (40.295970999999966), CTSH (41.8125259999999), BK (44.31940599999995), PM (46.648187000000064), L (47.28159799999989), STT (48.521478000000045), AMCR (48.99408199999981), SJM (49.22961499999993), PRU (49.69301900000007)"
"MTB: CAG (38.73580799999996), BK (40.93621099999996), FE (41.82329499999995), USB (43.000453000000086), KO (43.60677), WELL (45.22487499999991), ESS (45.282257000000016), CNP (45.828019000000005), DD (48.02057100000005), PRU (49.00225600000009)"
"MRO: TRGP (43.86563800000005), DVN (53.47335899999987), WMB (64.52716600000004), BBWI (75.39999800000005), PXD (79.27641800000015), EOG (81.6676830000001), PARA (87.36366400000013), BG (88.32950599999992), FANG (90.29534900000016), SLB (90.89852599999976)"
"MPC: ACGL (43.20177800000001), COP (49.990674999999925), HUBB (51.07597999999995), CF (51.37576199999987), HES (54.67189100000004), NUE (54.903416), GWW (55.05845699999995), PHM (59.09723900000012), AZO (64.09460900000002), STLD (67.11508399999985)"
"MKTX: CRL (24.18253800000007), INTU (27.961348999999966), BIO (28.256978), TECH (32.892197000000046), ADBE (33.047775), CSGP (34.60886599999996), MSFT (36.02414400000003), TT (36.03465899999994), ADSK (37.35880900000007), MPWR (37.981731)"
"MAR: PNC (28.897478000000024), UNP (30.60188799999997), EXC (33.29769400000001), BKNG (34.14782800000003), ZION (34.627464999999944), DRI (34.77650899999995), CFG (35.617256), AFL (36.57080599999984), LMT (36.70935699999992), CBOE (37.28765000000005)"
"MMC: RSG (15.180068999999971), LIN (16.210536000000022), WRB (19.940549999999977), SHW (20.716017), ADI (22.13856100000001), ACN (22.26486400000008), ADP (22.402825999999997), ELV (23.55201300000004), AON (25.112699000000028), COST (26.00070099999997)"
"MLM: ROK (22.84784999999996), AME (23.490227000000036), PAYX (24.431802000000037), CBRE (26.221155999999933), NKE (27.07548400000002), TROW (28.177779999999984), BLK (29.92902999999997), ADI (30.320508), HLT (30.33719599999996), CPT (30.502605999999982)"
"MAS: PAYX (25.56815999999996), ITW (26.712200999999965), IEX (27.18448200000006), CE (28.257257), ROP (28.59712200000001), ICE (30.41214999999999), DLR (30.565388999999968), AME (30.61652100000009), CPT (31.196444000000024), DGX (31.200544999999984)"
"MA: TDY (18.157470999999965), TMO (23.299613), ANSS (24.34250499999999), ACN (24.646785000000055), COST (24.819168999999945), EQIX (25.268115000000027), NEE (25.373229000000062), EL (26.275985999999996), MTD (26.417205999999982), NDAQ (26.496653000000048)"
"MTCH: EPAM (23.597105000000024), GNRC (24.904936999999943), FTNT (29.71337800000001), MPWR (30.39880400000003), MSFT (31.48522099999998), MSCI (32.13237799999994), IDXX (32.43565400000003), ODFL (32.60331800000001), NOW (32.605407), LRCX (32.65003500000001)"
"MKC: CCI (23.584071), CHD (24.382237999999997), AEE (28.047948999999942), CME (28.81215200000001), ROP (30.960926999999952), ICE (31.15330199999999), XEL (31.57700000000001), UPS (31.74846600000003), SYK (32.86891000000004), VRSK (33.13394699999996)"
"MCD: SYK (18.348183), WM (18.946642999999952), AIZ (20.129783999999937), ITW (23.173028000000038), STE (25.27631099999996), ADP (25.953212), BR (27.19724500000005), KDP (27.40462799999998), VRSK (27.434140000000014), MMC (29.19212399999998)"
"MCK: MOS (47.6495639999999), HES (48.83365700000008), XOM (49.35259700000015), PCAR (52.23959600000006), F (53.42197400000003), COR (55.69891500000004), CF (56.10470100000005), IRM (61.56063899999995), COP (66.08635300000003), HSY (66.53984799999972)"
"MDT: DUK (28.22113300000002), KO (29.256811000000017), AVB (32.94723000000002), ESS (33.202051999999995), ECL (33.31726799999999), CHRW (37.533846999999966), CMCSA (38.85915399999994), PPG (40.52364899999992), ALLE (40.71825999999995), EQR (40.96989999999995)"
"MRK: PCAR (29.500823999999945), ADM (30.873638999999947), SRE (32.089533999999894), EXC (34.35969800000001), IRM (36.93315899999998), CBOE (37.59203800000001), TJX (38.20714299999994), BKNG (42.044889000000005), GPC (42.27578299999997), EG (42.710174)"
"META: AVY (24.97780900000001), CRM (26.28374799999997), ACN (26.59623100000004), DHR (27.024390000000007), NVR (27.122052999999944), HD (27.22191200000005), IQV (29.235361000000022), A (29.45795499999998), TXN (29.793865999999987), NDAQ (30.619064000000023)"
"MET: PNR (31.221994000000038), GS (31.886377999999976), CB (33.70605699999998), GM (36.55584299999997), LH (37.594769), PFG (37.92340100000013), BRK-B (39.059188), COF (39.09779100000006), PXD (40.02506699999996), CMI (40.709260000000015)"
"MTD: TMO (17.49004000000002), ACN (17.821322000000023), A (18.73693700000004), DHR (22.261052000000014), PLD (22.60477900000002), UNH (23.309099000000007), SPGI (23.397806999999982), GOOG (23.469247000000006), DPZ (23.67410799999996), RMD (23.95796899999996)"
"MGM: CFG (29.8000359999999), KEY (34.06131799999998), PNC (36.48888899999999), DFS (37.73239700000006), TEL (38.237871999999946), LH (38.90534800000003), SWK (39.18823099999994), AOS (40.585344000000006), MET (41.63819700000008), EXPE (41.72310300000004)"
"MCHP: BBY (26.904957999999983), NVR (27.55258099999996), AVY (27.87814099999999), UNH (27.940989000000005), TRMB (28.680245000000006), CHTR (29.132874999999952), A (29.25955999999998), ADI (29.272860999999992), RSG (29.532967000000028), IQV (29.98290800000004)"
"MU: CDW (44.75981399999992), STX (50.06816700000007), LYV (51.870856000000025), KEYS (52.15758000000007), MCHP (53.172100999999984), MS (53.29775200000008), BBY (54.21416900000001), HPQ (54.22924799999995), PTC (54.76673400000004), ISRG (54.868674000000006)"
"MSFT: ODFL (17.342590000000012), MSCI (19.931850999999984), MPWR (20.240779999999997), POOL (20.347569000000004), FTNT (21.652284000000044), EPAM (21.877741000000007), CPRT (21.968167), WST (21.982666), INTU (22.19975599999995), NOW (23.03062800000003)"
"MAA: SHW (19.35369600000001), PAYX (19.816555999999974), NDAQ (22.581862999999952), CPT (22.61721899999997), IQV (23.045117000000044), ADP (23.341214999999963), FAST (23.657320999999992), DOV (23.88936099999997), WM (25.336915999999945), AON (25.590952000000016)"
"MHK: DAL (61.17482999999998), INCY (61.27625799999996), TAP (62.18004400000003), HAL (62.884782000000016), DD (66.36606899999985), ALK (66.39641099999983), WDC (83.26288200000018), OXY (83.49954699999991), LUV (83.89406099999995), WFC (84.25966800000002)"
"MOH: BX (24.581288000000008), TECH (25.653349), ZTS (26.438197000000056), TT (28.060200999999942), RMD (28.899409000000013), KEYS (29.881596000000044), CRL (30.430373), DE (30.60385200000005), BIO (30.934942999999954), AAPL (31.230346)"
"TAP: MHK (62.18004400000003), GE (69.01680499999992), CTRA (69.66101999999981), HAL (73.22116799999992), ALK (77.502755), INCY (86.34946000000006), CCL (87.89131800000006), BKR (91.9947470000002), APA (93.12184399999995), OXY (93.88368199999984)"
"MDLZ: PEP (16.358596999999993), SO (17.168213999999992), SRE (25.859251000000043), PSA (25.95283999999996), CB (30.71895000000009), TRV (30.799081000000022), PEG (30.95429999999997), ATO (31.294295), CMS (31.484290000000005), PG (31.985207)"
"MPWR: MSCI (16.893866999999997), ODFL (19.311692999999977), GNRC (19.706975000000032), MSFT (20.240779999999997), EPAM (20.587485), FTNT (21.20477299999997), POOL (21.734394999999974), WST (22.06643899999997), IDXX (24.019252000000023), LRCX (24.61844600000001)"
"MNST: GPC (31.904086999999947), VMC (33.61819700000005), PEP (34.76278099999998), SO (35.86201299999999), PSA (37.32908999999994), SRE (37.73041899999996), AMGN (37.817634999999946), WMT (38.14928599999996), HOLX (38.554531), MDLZ (39.525453)"
"MCO: SPGI (17.52649000000004), NDAQ (19.34739300000003), DOV (21.692074000000023), SHW (22.079952000000013), TGT (22.302839000000017), WM (22.38230300000002), NEE (22.45277999999999), A (22.61784300000001), EL (23.041719999999977), COST (23.142495000000014)"
"MS: AMP (20.982483), TRMB (26.364787), RJF (30.169701000000035), DOV (30.544459), CBRE (31.13852000000007), TSCO (31.936466000000006), SBAC (32.05532900000002), LOW (32.617879999999985), STX (33.28406599999995), SHW (33.40192199999996)"
"MOS: MCK (47.6495639999999), F (47.825802), COP (48.98391199999993), DVN (49.17218599999994), XOM (51.70130300000002), CF (51.70964699999993), HES (54.350324000000086), TRGP (57.842554), ADM (68.40967400000014), COR (71.90609500000018)"
"MSI: CTAS (22.462708000000045), ACN (23.30344199999999), UNH (23.315094999999957), RSG (23.380838999999995), CDW (23.92970000000002), PLD (23.96481900000001), TT (24.397753999999978), GRMN (26.36866700000001), ZTS (27.47672100000001), KEYS (28.54897300000001)"
"MSCI: MPWR (16.893866999999997), WST (19.664317999999987), MSFT (19.931850999999984), IDXX (22.064745000000052), EPAM (22.34789499999999), POOL (22.89623099999997), AMZN (23.992344999999997), LRCX (24.06617699999999), ADBE (24.367563000000004), PODD (26.253661000000005)"
"NDAQ: ACN (15.149450000000002), PLD (17.185288), BRO (18.33783199999999), COST (18.65483100000002), A (19.005713000000007), GOOGL (19.207365999999983), MCO (19.34739300000003), EL (19.48812200000003), HD (19.858766), GOOG (20.003350999999988)"
"NTAP: RF (37.33036599999998), ZION (38.696904000000025), CMA (40.59935199999991), CSX (41.05071900000012), NSC (44.503097000000125), MCO (45.74276899999994), UNP (46.331934), DOV (46.52648299999995), CFG (47.21119500000001), HLT (47.389993)"
"NFLX: ISRG (32.25655999999994), ADBE (34.77291800000006), LULU (35.77410599999998), EPAM (37.91576600000002), CDW (38.048958999999925), MSCI (38.16253899999999), ADSK (38.97787199999997), KEYS (39.586661999999976), AMZN (40.012021999999966), TER (40.23498500000006)"
"NEM: PH (31.692233000000044), ORLY (32.78365400000001), AZO (36.04863300000002), AMP (37.81159300000003), CMG (39.43706199999996), ORCL (40.47908900000006), CAT (41.38637200000007), IRM (41.58626500000002), A (42.14851599999997), MOH (42.83642999999988)"
"NWSA: PNR (30.152819999999966), COF (38.50007400000001), NWS (39.93303000000007), GS (41.28402499999997), GM (43.71389499999999), DVA (43.79610799999999), BG (47.493815), LH (50.593992000000014), HOLX (51.058125999999945), CMI (51.10308099999996)"
"NWS: DVA (33.463905999999994), PNR (35.34258899999999), NWSA (39.93303000000007), GM (41.92328599999989), MET (43.234624999999966), EMN (43.26230400000004), LKQ (43.43844799999994), SYF (50.99575899999996), GS (53.04568499999995), PPG (54.39620599999997)"
"NEE: WM (17.780298999999996), AWK (18.73075699999998), MCO (22.45277999999999), STE (22.929142999999943), ACN (24.196840000000016), EQIX (24.21235899999998), ANSS (24.217613), NDAQ (24.230086000000032), EXR (24.35772199999994), COST (24.763222999999964)"
"NKE: AVY (23.132503999999955), EXR (23.63431599999999), PAYX (23.71051500000003), FAST (25.224339000000068), AME (25.41011899999997), CBRE (25.90386300000007), WAT (26.91635699999995), MLM (27.07548400000002), NDAQ (27.126812), FDS (28.28026800000008)"
"NI: ED (23.40221099999999), EVRG (28.94864799999998), JNJ (29.89469599999998), DUK (30.797992999999995), ATO (30.818923000000023), AEP (33.77686800000004), GL (34.52074699999998), LNT (35.17975699999999), BF-B (35.988934000000064), AMGN (37.25995399999993)"
"NDSN: DOV (22.914878999999964), TXN (23.08044200000001), J (23.92338500000001), AON (24.907967000000006), WM (25.357533), ROK (25.88519499999995), ITW (26.019065000000023), ABT (27.008436999999933), STE (27.152990999999968), ADI (27.498029)"
"NSC: J (23.01924800000007), CSX (23.570611000000003), WM (24.08437800000001), ABT (25.02214900000001), HLT (25.762332999999945), UNP (26.01118399999998), IEX (26.411666000000032), STE (26.872366), AXP (27.17422700000004), NEE (27.863738000000037)"
"NTRS: TFC (21.987153999999983), HBAN (30.039917999999982), GD (31.732178), PEG (35.31278200000003), JNJ (37.42637799999993), GL (38.68123600000003), TRV (38.79441299999996), DUK (39.489997000000045), EMN (39.75838000000002), SWK (39.871928000000025)"
"NOC: WRB (23.53685699999997), HUM (29.960548000000035), RSG (30.85002500000001), TJX (31.854996999999976), MCD (33.90500700000005), AFL (34.83431300000004), MMC (35.484308999999975), ADP (35.84697900000001), CBOE (36.43889799999999), ORCL (37.07825500000002)"
"NCLH: AAL (60.59254399999995), SLB (70.95072399999997), OXY (77.45927199999986), HAL (85.03201899999956), CCL (103.85413799999976), GE (104.36215899999964), EQT (106.16600799999992), APA (116.44175900000003), UAL (117.81247), INCY (119.42512500000016)"
"NRG: FMC (42.581867999999965), FCX (43.00649300000001), ILMN (53.683588000000015), OKE (54.25995299999996), CNC (54.76359300000003), UNP (56.56794300000008), COO (59.69156599999991), CMG (59.802871999999965), ARE (59.975326999999965), AXP (60.66066999999991)"
"NUE: ETN (27.099848999999995), IT (31.394243999999937), PHM (31.44357299999998), AZO (36.70714100000011), URI (36.817135000000064), PANW (37.67931400000002), HUBB (37.71223699999992), DHI (39.886264999999966), AJG (45.61132299999996), GWW (45.64702199999992)"
"NVDA: ENPH (26.658486), CDNS (42.26957399999993), TSLA (44.814165999999965), AMD (45.38625200000004), SNPS (50.43281300000002), ANET (52.24116999999997), AVGO (52.41087900000002), FICO (56.64451699999992), KLAC (58.91947499999989), GNRC (59.11212400000007)"
"NVR: CHTR (24.181912000000032), ACN (24.98293299999997), AVY (25.08445900000001), HD (25.76915500000004), CRM (25.840770999999965), META (27.122052999999944), MCHP (27.55258099999996), STE (28.349105999999967), ADP (29.35688599999998), TYL (29.579912)"
"NXPI: JCI (25.565347000000006), APTV (28.20010399999997), SWKS (30.114817), BLK (32.46858600000004), CBRE (33.726116000000154), JBHT (33.90018800000002), UPS (33.94906), PSA (34.10190399999993), RHI (34.68318799999997), GS (35.696391000000034)"
