Ticker and Top 10 Smallest DTW Values
"MMM: IFF (64.59623699999999), LUV (64.86370299999994), C (66.637784), SEE (67.8945220000002), USB (69.87554999999999), D (72.63510799999996), IP (75.76776599999985), HAS (81.93592299999982), MDT (83.92115999999997), DIS (85.9885260000003)"
"HES: COP (46.52139399999994), TSCO (48.29919299999979), IRM (49.27996100000004), HUBB (56.229633999999855), ETN (59.17253200000002), AMP (60.84698500000018), PCAR (60.91477900000004), ADM (60.99041199999989), HSY (61.03408300000013), MCK (61.92656700000001)"
"HLT: AME (31.47052099999996), APH (35.36819800000003), AXP (37.85231699999992), ITW (38.76985000000005), AON (39.15999999999989), ADP (39.26603299999996), PKG (39.88260900000004), UNP (39.94206000000001), PAYX (40.23460899999994), AFL (40.70458700000004)"
"HOLX: PEP (42.42492199999994), XEL (44.44132499999994), WEC (44.48898699999999), CMS (44.68659899999995), JBHT (45.80890499999977), CHD (45.83104800000016), EXC (46.29239699999994), MNST (46.311247), MET (48.80222400000008), BRK-B (49.13789599999989)"
"HD: DOV (30.04055000000004), IQV (30.555203999999964), MCO (33.18131600000002), LOW (34.471748999999946), SHW (35.020523000000075), ACN (35.273334999999946), AWK (36.35498199999997), AVY (37.04774000000002), BLK (37.93061399999994), ABT (38.23912500000001)"
"HON: YUM (36.84038500000003), SRE (39.03924500000008), CHD (39.21797200000005), ALL (39.34797600000003), DTE (39.38801), LNT (40.670512), WTW (41.58770299999999), SO (41.68725699999993), EMR (41.842924), EXC (43.43224)"
"HRL: BF-B (49.46679700000002), O (51.255922999999925), ES (52.01294900000008), AEP (54.82388300000008), DUK (56.242700000000106), EMN (58.40377800000012), PFE (58.66849000000019), DTE (59.14056500000006), PEG (61.372079999999904), MDT (62.28214299999999)"
"HST: MO (63.5977379999999), WAB (66.32802399999994), CPB (67.60366600000002), UHS (73.23217799999992), FE (75.18285699999993), WFC (75.63542499999967), BWA (78.48685099999996), RTX (79.34649900000004), CAG (81.865981), K (83.77279199999991)"
"HPQ: BLK (42.43289799999995), CBRE (44.71021600000012), ROK (47.203998000000006), RJF (48.96115300000001), SCHW (48.97336999999999), IQV (49.46023400000009), DOV (49.58851699999995), XYL (49.62958000000003), ABT (50.07613900000006), AXP (50.270957000000045)"
"HUBB: GWW (33.766803000000046), ACGL (37.127766), AZO (37.45018599999998), LIN (37.79601000000004), ETN (38.3592369999999), PAYX (40.2716139999999), WRB (40.90006099999997), AON (41.83855299999984), ORLY (42.69776700000009), KDP (43.2580940000001)"
"HUM: ITW (34.983270999999945), PAYX (37.60197199999994), ADP (38.04309099999997), NOC (38.26473999999999), WRB (38.93862800000005), AME (40.26654800000004), AFL (40.63614400000007), FAST (40.95437900000002), MCD (41.87957099999985), APH (43.13820899999999)"
"HBAN: NTRS (46.026210000000034), EMN (58.05736599999997), PRU (59.00933999999992), BK (61.73957899999997), MTB (63.28377000000007), FFIV (66.084546), TFC (66.25922400000003), IP (68.13552399999986), FDX (69.51797799999999), RTX (70.49652200000008)"
"HII: NI (58.55696999999999), CNP (58.682876999999934), ECL (59.05670800000014), EA (59.50728299999985), ALLE (61.62753600000008), LNT (61.64057399999999), AMGN (61.86672300000004), AEP (63.37443799999996), ETR (64.36737699999995), ED (65.42131099999997)"
"IBM: L (54.10941999999993), HSIC (59.18230399999989), LYB (60.66192900000005), SJM (61.34016699999997), OMC (61.72459799999997), REG (62.37282400000013), WAB (66.91102299999993), BMY (67.45308400000008), RTX (67.81623099999969), JNPR (68.06309200000005)"
"IEX: PAYX (35.35377299999996), FDS (35.52706099999998), ROP (36.50871099999997), SYK (36.95318199999991), JPM (38.10612499999995), ADP (38.42927900000003), V (38.67434299999991), J (38.83169400000005), KDP (39.00571899999999), EXPD (39.009071999999975)"
"IDXX: POOL (34.815612000000044), TER (35.12666800000004), WST (39.85961000000001), INTU (39.86673999999997), ADBE (44.88752), MSCI (46.65771400000008), AMZN (46.92569600000003), NOW (50.32414999999995), DXCM (52.12754599999997), TTWO (52.98869699999997)"
"ITW: APH (30.77850100000003), AME (31.575302999999977), MCD (32.33669), SYK (32.790711000000044), HUM (34.983270999999945), BR (35.38859300000004), ADP (35.638958999999986), AFL (35.97852399999996), NDSN (36.34526000000007), VRSK (37.22155999999989)"
"ILMN: FIS (65.02558599999998), KMX (66.64449099999993), KEY (69.46286600000005), ZION (71.20027500000008), CFG (76.11461899999998), ARE (77.06788800000005), FMC (80.72192099999998), AES (82.13201700000003), DG (82.89974799999992), SWK (84.7453829999998)"
"INCY: ALK (65.26187499999988), MHK (71.68525599999987), WDC (83.334681), UAL (90.087323), DIS (95.57683499999976), DAL (95.83063399999998), WYNN (102.48497500000028), XRAY (109.1051060000001), MMM (110.28692000000008), RCL (116.0812630000001)"
"PODD: FTNT (50.79065700000005), MPWR (52.11547400000001), POOL (54.32566299999991), MSCI (62.498611), DXCM (63.74289300000002), KEYS (64.26474899999998), TER (64.56042099999993), MSFT (64.86501099999987), AMAT (65.82439699999999), WST (66.76911099999995)"
"INTC: ARE (58.20116999999996), BALL (58.964654), CCI (61.69647399999998), BAX (63.22803999999984), CMCSA (65.8821149999998), NTRS (68.01582000000002), PFE (69.30150599999989), FIS (70.22118999999996), EBAY (70.77087799999987), HAS (70.9455069999999)"
"ICE: EXPD (32.84694099999997), MAS (38.71453099999997), ROP (38.864116), CME (39.20522100000005), CINF (40.037631000000026), IEX (41.84775899999993), AEE (42.71681899999991), SBUX (43.12798399999999), APD (43.35381899999994), VRSN (44.22287200000009)"
"IFF: D (60.77144600000013), MMM (64.59623699999999), PEAK (76.35191299999968), T (81.57787400000002), LUV (83.92013), C (85.87021600000006), VZ (87.77620199999987), BXP (89.85033500000002), EQR (93.1012490000002), DAL (93.7763379999998)"
"IP: ESS (49.25007200000001), EQR (53.754132), C (57.94549900000002), USB (58.45234600000008), STT (58.753627), FFIV (59.511433999999774), MDT (60.79343000000024), CTSH (62.336557999999975), UDR (64.49655699999983), BMY (65.28461600000003)"
"IPG: JCI (45.06786699999999), UPS (46.45878699999988), GPC (48.64373100000007), SNA (50.2501829999999), CVX (52.43396400000008), HOLX (54.84475599999988), PSA (54.87400099999998), APD (55.12287699999995), NXPI (56.47369799999986), ADM (57.55145700000003)"
"INTU: BX (34.52132099999997), AMZN (36.131339), ADBE (36.846594000000096), WST (37.46147900000002), POOL (38.10277400000002), MSFT (39.15501299999999), IDXX (39.86673999999997), NOW (39.87862100000002), ZTS (40.28435199999988), MSCI (41.66581000000016)"
"ISRG: GOOG (37.64119299999992), GOOGL (39.843479), ZTS (42.2387109999999), INTU (42.59676900000001), SPGI (44.84086799999992), KEYS (46.80975099999999), AMZN (46.81361299999999), ADBE (47.87894399999995), BX (48.35980899999994), ACN (48.41653999999987)"
"IVZ: BEN (82.21851000000015), SLB (93.62014099999978), APA (94.04576999999996), BXP (94.90090300000011), WDC (104.82259699999976), ALK (114.823309), WBA (115.28603699999992), BBWI (117.75298099999998), BKR (117.99036300000007), MHK (118.7242600000001)"
"IQV: HD (30.555203999999964), SHW (34.064784999999965), DOV (34.29881299999996), MAA (35.37215300000006), ACN (36.006627999999914), PLD (38.93256000000007), AWK (39.4899529999999), ABT (40.78362599999987), A (42.27033199999995), AVY (42.65057799999999)"
"IRM: PCAR (41.61431599999992), AZO (42.50583299999982), ORCL (43.37730900000006), ORLY (44.7985679999999), AMP (45.06897799999994), MMC (45.500904000000034), COP (46.600314999999945), BSX (47.83389099999989), LIN (48.80415499999991), MRK (49.144080000000045)"
"JBHT: TEL (33.63226700000005), CVX (38.756213), LH (40.02729800000001), EXPD (40.14105299999999), PKG (40.496005), DGX (40.69323399999991), WMT (40.93551399999993), GS (41.01351599999999), CMI (41.54031900000007), WEC (42.26542900000002)"
"JKHY: AWK (41.57899599999998), AEE (42.78599699999993), AMT (43.04245300000002), ABT (43.32573699999999), MKC (43.71313999999993), HSY (45.245028000000026), ICE (46.594207000000125), VRSN (46.70818799999998), LNT (47.46509400000005), XEL (47.91083899999992)"
"J: PAYX (28.695912999999987), ADP (32.91547899999998), WRB (35.036913000000055), ORCL (35.51206100000004), AON (35.670602999999815), NDSN (35.72903900000007), LOW (36.91665599999997), NOC (38.27893399999997), STE (38.32068299999985), ABBV (38.59876100000006)"
"JNJ: ED (34.61238799999998), DUK (37.05728599999997), NI (37.12123299999997), PEP (40.54445400000001), MDLZ (41.00408499999991), PEG (41.380631999999935), TRV (44.35250100000004), EVRG (44.36130799999997), KO (45.131509000000136), BDX (45.56663600000006)"
"JCI: UPS (40.17751099999995), NXPI (40.97471800000001), PSA (44.040645000000175), BLK (44.59456099999997), IPG (45.06786699999999), EFX (47.66881799999997), GPC (50.579728), ADM (50.62468500000004), DFS (51.10063699999999), RHI (51.949881000000026)"
"JPM: IEX (38.10612499999995), ROP (40.01378399999995), YUM (43.26284100000005), CME (43.31784400000002), SYK (43.46227900000004), ICE (45.523244000000034), HON (45.86635000000005), FDS (46.671536999999965), CSCO (47.07577599999996), V (47.58530700000017)"
"JNPR: SJM (52.82504800000009), WY (55.08638099999997), AVB (57.777606000000056), OMC (58.53003000000008), HSIC (60.64376600000007), PPG (61.150173000000144), DUK (61.34834499999997), BMY (63.04706800000016), EQR (63.431981999999984), BK (63.78236400000005)"
"K: CPB (46.89114399999996), CAG (48.75273800000003), CL (54.30060000000013), CTSH (57.3557709999999), PPL (58.58204299999999), MO (58.96907000000013), EIX (62.86603899999996), VZ (67.60441199999993), SJM (68.54411000000002), T (71.56575200000013)"
"KDP: MCD (37.27544300000003), IEX (39.00571899999999), ORCL (40.963463000000026), NSC (42.35135099999991), HUBB (43.2580940000001), WRB (43.9699), HSY (43.99820800000008), FDS (44.90123800000001), PAYX (44.97024200000006), ABT (45.020885000000064)"
"KEY: ZION (46.19931399999992), CFG (46.521774000000086), TFC (54.699861999999925), SWK (55.489034999999966), KMX (58.246943999999935), EXPE (60.18908999999972), CMA (63.05556799999998), PFE (66.82829499999998), ILMN (69.46286600000005), GM (72.65077599999998)"
"KEYS: MTD (38.81984899999996), ZTS (40.27989299999998), DHR (42.273381000000015), BX (42.40621999999999), TECH (43.61751999999999), ADSK (43.80377300000001), A (44.14692200000024), TMO (44.95191500000002), RMD (46.585039), ISRG (46.80975099999999)"
"KMB: HSIC (55.95495199999994), PM (61.546532000000056), SJM (63.07837699999999), DUK (63.87672600000001), AMCR (63.91589400000005), ED (66.08651299999981), JNPR (69.341217), CL (69.9485889999999), L (71.71307800000005), IBM (72.47498400000009)"
"KIM: CTRA (62.40251000000012), STT (71.76122399999993), AIG (72.18413599999991), JNPR (78.54359399999993), CVS (78.78830000000015), BMY (80.49921500000006), HSIC (82.28156999999983), HST (84.43339399999978), WAB (85.31313399999986), CPB (86.141766)"
"KMI: SLB (114.65399300000006), BEN (116.18882299999989), GE (119.7955509999999), BIIB (120.22587899999972), IVZ (124.27871899999997), WBA (128.3421260000002), TAP (134.3955169999998), APA (134.42152399999986), CAH (143.41250599999992), INCY (149.08973200000017)"
"KLAC: SNPS (26.513859999999912), CPRT (30.017467000000043), CDNS (30.18717400000004), MSFT (30.53687599999998), ODFL (33.14043099999997), PWR (35.65646000000001), AVGO (37.19586100000013), LLY (38.733924), ON (39.748852), ANET (41.30057599999997)"
"KR: GIS (50.820130000000006), BG (60.340084000000125), COR (66.24357100000009), CAH (67.770214), MET (74.23401999999994), PSA (80.19017999999976), DVA (80.69895000000004), REGN (81.23717400000004), NWSA (81.58035399999996), XOM (81.69418400000009)"
"LHX: AWK (39.45908200000001), SHW (42.8253579999999), IQV (44.46421799999997), KDP (45.25198100000005), SBAC (48.735832000000045), HD (48.80693300000001), ABT (48.95393400000005), AMT (49.39392599999997), MAA (49.45651799999986), DOV (50.57887200000002)"
"LH: TEL (30.074853), JBHT (40.02729800000001), GS (40.26765800000002), PFG (40.56584799999995), DGX (40.61496600000004), EXC (42.43100000000007), CI (43.45726899999992), DFS (43.598847), PKG (44.76541199999983), MAS (45.87973800000001)"
"LRCX: AMAT (28.97996400000003), MSFT (36.16100799999997), ODFL (37.21733999999992), NOW (38.57756699999994), MPWR (41.53651499999997), ADBE (43.700227000000034), CPRT (44.02694499999999), AAPL (44.7991900000001), WST (46.59333499999998), MSCI (48.805634999999945)"
"LVS: FLT (69.54523999999996), MTB (72.59815200000001), DVA (74.40765400000002), FE (77.28299699999978), C (79.01319199999995), DD (83.41437600000003), HAS (86.62444199999996), BK (87.22470300000006), USB (87.80111000000005), HII (88.35557599999994)"
"LDOS: RSG (40.38592000000005), AVY (40.77602899999994), MMC (42.4705419999999), NDAQ (42.722554999999886), VRSN (47.639214), ADI (47.89523999999994), BRO (49.49252999999994), STE (50.83105399999997), COST (50.93839299999996), V (51.49012000000008)"
"LEN: NXPI (46.629764), PCAR (50.81300699999998), TJX (52.173469000000026), YUM (53.09707900000013), COP (53.13586399999995), IRM (53.17695499999999), ORCL (56.90720299999991), FDS (57.44165399999994), AMP (57.67861999999998), MRK (58.79808700000013)"
"LIN: RSG (30.95308499999997), MMC (33.14999299999998), AZO (35.12541499999995), GWW (37.204943999999976), ETN (37.35836599999995), HUBB (37.79601000000004), ORLY (38.28215699999998), MSI (38.34254200000007), V (38.544385000000005), AON (38.89791699999999)"
"LYV: ZTS (34.13830000000001), PLD (35.308407999999964), GRMN (39.303821), SHW (42.74109300000002), IQV (47.36837199999994), DPZ (47.57586599999986), ANSS (53.32857799999994), RMD (53.96320399999993), ACN (54.26842099999999), EW (54.86230900000009)"
"LKQ: CB (47.01292800000014), EOG (49.021578000000034), HIG (49.82017700000013), CI (50.83485599999995), TRV (50.90484299999986), GIS (55.27228199999976), BRK-B (57.276852000000105), MGM (57.937060999999936), AOS (58.886524), GS (58.90931899999992)"
"LMT: AFL (38.23728299999999), TJX (38.89740500000005), YUM (41.178052), AEE (43.70039600000004), FDS (44.05865499999992), CBOE (44.97556799999989), WRB (46.233841000000034), EXPD (46.36001900000002), BSX (47.36887300000009), DRI (47.86475900000007)"
"L: PRU (45.71853300000004), DUK (49.47962699999998), RTX (50.97597400000002), WELL (51.83732099999997), TRV (52.26816400000019), IBM (54.10941999999993), CHRW (54.44927299999995), LYB (54.98412999999985), TXT (55.40997499999988), HIG (56.83881599999993)"
"LOW: HD (34.471748999999946), NDAQ (35.011110000000016), STE (35.29417899999999), J (36.91665599999997), GOOGL (38.57411000000007), MCO (38.66323699999998), ACN (39.71344200000002), GOOG (40.55244199999997), AWK (40.879360000000034), DOV (41.19349200000011)"
"LULU: NOW (37.05051700000008), INTU (42.077192000000096), CTAS (44.04448599999994), MSFT (45.51427199999996), ODFL (45.54313199999999), ADBE (45.810493999999935), AMAT (47.80076099999994), ISRG (49.37626599999999), MSCI (50.30458299999997), KEYS (50.847831000000056)"
"LYB: L (54.98412999999985), TXT (55.0681620000001), WY (55.636969999999934), PRU (55.95542500000007), IBM (60.66192900000005), PM (63.78987100000007), CTSH (67.04167199999998), SJM (67.38212699999997), PPG (72.80988499999994), FE (72.88321500000016)"
"MTB: CAG (51.11660199999991), ESS (54.52481500000002), C (57.095824000000114), BK (57.25860399999996), EQR (59.72277600000013), USB (60.178792000000094), AVB (61.21162999999984), MDT (63.19448200000004), HBAN (63.28377000000007), FE (64.02499199999994)"
"MRO: TRGP (62.86533599999996), DVN (73.47440599999987), WMB (83.64643400000008), EOG (91.96339899999992), PXD (92.64363700000018), BG (99.28357100000017), MGM (102.92619000000006), FANG (104.60938400000012), PFG (105.82161199999976), NWSA (109.45891600000006)"
"MPC: HUBB (50.83029799999992), ETN (53.45804499999996), NUE (56.5296260000001), AMP (56.560781000000006), PHM (58.28399400000005), IT (58.37436099999991), GWW (59.02916299999998), COP (59.59290199999996), URI (61.96849599999997), HES (65.35359600000001)"
"MKTX: CRL (32.90956300000008), BIO (33.12492100000009), ZBRA (46.36136300000008), TECH (51.35435400000005), POOL (53.235405999999934), EPAM (53.76864400000007), RMD (59.75400800000002), GPN (60.67267900000003), EL (63.984927999999925), CHTR (64.62176999999994)"
"MAR: DRI (40.87803499999994), AFL (44.73805399999993), VRSK (45.83860599999999), CBOE (46.31118600000009), HLT (46.48301000000006), SYK (47.69264400000004), JPM (47.75235299999998), AME (49.175651000000016), CMI (51.21092799999998), PKG (51.40761699999993)"
"MMC: RSG (22.22030699999994), APH (32.217882999999986), LIN (33.14999299999998), ADI (33.44468399999997), V (33.67537299999997), BRO (34.186736000000025), MCD (35.45512199999988), BR (35.695688999999966), ADP (36.55702500000004), COST (36.61911399999995)"
"MLM: AME (30.688657000000024), ROK (39.694873000000015), APH (40.58550500000009), HLT (40.77254099999992), ADI (43.00016699999991), ITW (44.9130289999998), FAST (46.42144000000006), DRI (46.98971399999995), ROP (47.59290899999991), NXPI (47.843464999999945)"
"MAS: ITW (38.34589899999998), ICE (38.71453099999997), AIZ (39.28842599999995), TEL (40.61547999999997), DGX (41.30480100000003), IEX (41.821239000000006), EXPD (42.18089099999987), ROP (43.77384700000006), VMC (43.934400999999966), UNP (44.05103900000007)"
"MA: BRO (31.857733), V (32.42950299999992), RSG (32.48668999999999), EQIX (32.938826000000006), COST (33.788155999999915), TMUS (38.01671400000008), MMC (39.374231), TDY (39.48756499999995), LIN (40.39233699999992), ORLY (43.86404699999999)"
"MTCH: GNRC (32.142727999999934), EPAM (55.721608), ZBRA (78.73051899999986), PAYC (89.50492999999983), CZR (95.94977999999998), PODD (96.63912699999996), CTLT (98.27761699999988), ENPH (101.1839809999999), MKTX (102.61171899999998), ALB (104.49427400000025)"
"MKC: UPS (42.33223600000006), JKHY (43.71313999999993), AWK (44.15035899999992), CHD (44.667974), ICE (46.58455300000012), BF-B (46.76436399999999), CME (48.17012700000001), AEE (49.7374349999999), WEC (50.22414100000013), SBAC (50.39634900000004)"
"MCD: SYK (29.603577999999963), WM (30.990508999999957), ITW (32.33669), NOC (33.83684500000002), MMC (35.45512199999988), KDP (37.27544300000003), ORCL (37.64437799999993), APH (38.42877800000012), HSY (39.03395199999998), ADP (39.34197699999999)"
"MCK: WMT (48.32609100000003), COR (58.73228), XOM (58.8641390000001), PCAR (59.50552600000008), IRM (60.037666999999885), HES (61.92656700000001), TSCO (64.54713099999987), PKG (65.5922279999998), UNP (65.95273599999993), AME (66.6376149999999)"
"MDT: ESS (35.15480800000004), AVB (41.652656999999984), EQR (42.86828899999995), UDR (45.86882500000017), CLX (50.76814000000006), PFE (53.15010000000002), CHRW (56.52331299999992), CMCSA (56.71221199999989), ECL (56.928298000000005), O (59.0589199999999)"
"MRK: SRE (35.028477999999886), PCAR (37.74567599999998), EXC (37.94366800000007), AEE (39.569331000000005), YUM (42.76759199999999), PEP (42.77070999999988), ATO (42.92927499999997), HON (44.469645000000014), BRK-B (44.670389000000114), LNT (48.609948999999936)"
"META: CRM (51.054644), GRMN (62.55953500000008), AMZN (66.36310899999992), ISRG (69.12508599999991), DHI (71.3852599999999), ROK (74.16057999999997), ANSS (74.46440500000008), TT (74.57179199999992), GOOGL (75.117236), GOOG (75.29209599999997)"
"MET: GS (42.00565500000004), PFG (46.23437400000008), LH (46.896998999999965), PNR (47.54269099999999), HOLX (48.80222400000008), TEL (48.95183300000002), CB (50.56895700000001), CMI (51.67870299999996), PXD (51.851810000000114), CVX (53.27076899999994)"
"MTD: A (24.18019099999999), TMO (32.02181200000007), DHR (36.31008399999998), KEYS (38.81984899999996), SPGI (39.51132799999997), ACN (39.82792400000002), NDAQ (41.12839000000002), PLD (41.49070700000002), RMD (42.983215), EXR (45.00107899999991)"
"MGM: TEL (54.75864999999994), AOS (55.12016600000001), DFS (55.57280100000019), LH (56.82198599999999), MET (57.15659400000001), LKQ (57.937060999999936), RF (61.46432800000007), PNR (61.95904199999983), MAR (64.50787200000009), AXP (64.58811099999988)"
"MCHP: NVR (38.62132100000004), ADI (41.012218), EQIX (43.27535099999994), LIN (44.71286999999997), NDAQ (44.908817), HCA (45.13553700000011), ROK (46.221033999999975), CAT (46.22485799999989), MCO (46.71241499999999), GOOGL (46.82971800000005)"
"MU: STX (60.85772200000011), AMZN (63.91129799999992), KEYS (64.71666999999997), GRMN (65.57319000000001), TTWO (66.12915999999991), BBY (66.33420800000003), BX (66.83457900000008), LYV (67.10867199999993), ADSK (67.14385299999998), CRM (67.55088500000015)"
"MSFT: CPRT (27.230507999999947), ODFL (28.10792800000003), KLAC (30.53687599999998), CTAS (30.92026899999997), NOW (31.90640200000004), MPWR (33.93889800000001), LRCX (36.16100799999997), AAPL (36.49893500000003), LLY (37.29859900000001), AMAT (38.079877000000025)"
"MAA: CPT (30.832044999999997), IQV (35.37215300000006), SHW (35.74868700000001), HSY (38.86930399999997), WAT (41.53371500000002), EXR (41.88020499999999), EFX (44.51704599999994), RVTY (44.98171499999995), NKE (45.34586800000002), BAC (45.51836399999993)"
"MHK: INCY (71.68525599999987), ALK (82.04288100000004), WDC (102.3801880000002), UAL (103.55528000000008), BBWI (103.8178279999997), IVZ (118.7242600000001), AAL (126.78388600000012), CCL (131.51438600000012), WBA (136.44065299999983), DAL (137.710804)"
"MOH: CDW (42.82083400000004), DE (45.14331100000003), AJG (45.522785000000056), BRO (45.52599500000005), AAPL (47.71229900000005), PGR (49.35439399999992), SPGI (49.84829399999998), UNH (50.69942500000001), MSI (52.19683100000006), PANW (52.89056800000005)"
"TAP: DD (82.46848999999993), BEN (98.98758800000004), GE (99.67617400000027), CTRA (101.77425399999986), HAL (102.48157399999984), WFC (106.32738500000016), SPG (106.5980369999996), IP (107.4656650000002), LVS (110.08490999999984), APA (111.70362699999986)"
"MDLZ: PEP (25.79581999999999), SO (33.81174300000001), PG (36.866743000000014), CMS (38.44706400000006), TRV (39.29555399999997), SRE (39.49102200000007), JNJ (41.00408499999991), CB (41.179665999999926), SNA (42.21933399999996), ATO (42.57278700000008)"
"MPWR: MSFT (33.93889800000001), ODFL (34.11558100000001), MSCI (35.35186699999996), LRCX (41.53651499999997), FTNT (42.00106000000001), WST (42.48127800000003), AMAT (43.49529899999995), CPRT (43.903741000000096), NOW (44.8757), AAPL (47.437535999999945)"
"MNST: VMC (37.79541900000005), PEP (44.43536199999987), MDLZ (46.053800999999964), HOLX (46.311247), CI (46.75424400000008), ATO (46.93935200000016), WMT (47.617266999999934), GPC (47.74848100000004), AEE (49.05917699999997), EG (49.25223699999999)"
"MCO: SPGI (22.400397000000023), DOV (29.964340000000018), HD (33.18131600000002), GOOGL (34.12719399999991), GOOG (34.189409000000055), NDAQ (34.81198), STE (35.499599), ACN (36.44156799999992), SHW (36.55927600000001), AVY (37.256193)"
"MS: AMP (39.80560999999997), DOV (41.02119199999999), TSCO (42.43539199999994), LOW (42.82422099999996), RJF (44.31905299999999), ABBV (44.99286600000005), A (47.21214100000008), AWK (49.28460200000001), ABT (49.30248800000009), MCO (49.32141199999998)"
"MOS: F (59.64809199999995), DVN (81.16966399999987), SWKS (82.65603500000023), QRVO (86.62563200000001), CF (88.6285989999999), BBWI (92.9333669999999), ARE (96.5714810000002), RHI (99.52254799999992), WYNN (102.70037500000032), KMX (103.78457500000026)"
"MSI: CTAS (26.87609600000001), AJG (29.25031800000006), TT (32.572729999999986), UNH (33.14894099999989), PGR (36.94806500000004), CDW (38.1614569999999), LIN (38.34254200000007), TDG (38.535270999999874), RSG (40.59877100000006), CAT (42.20345300000008)"
"MSCI: MPWR (35.35186699999996), WST (37.02303099999994), MSFT (39.69609399999996), INTU (41.66581000000016), FTNT (42.28354000000007), NOW (44.18943200000008), AMZN (45.28922699999997), IDXX (46.65771400000008), ADBE (48.58534699999999), LRCX (48.805634999999945)"
"NDAQ: TMO (29.651183000000028), DHR (32.112346999999964), A (32.21529399999994), AVY (33.01215899999996), SPGI (34.151085999999935), ACN (34.299897000000044), MCO (34.81198), LOW (35.011110000000016), TXN (35.879135999999995), DOV (38.44664899999995)"
"NTAP: MCO (53.655888), CSX (54.18803700000009), UNP (54.978890999999926), DOV (56.45640799999996), PTC (59.92155399999997), PKG (60.18224799999985), HLT (60.34213800000004), BR (63.12799900000001), RF (63.33391100000004), AXP (63.52431100000018)"
"NFLX: TER (66.51939399999998), ADBE (67.06722899999998), TTWO (70.26445799999998), GRMN (71.0109860000001), AMZN (71.45787399999995), IDXX (73.41735200000004), ADSK (74.32955299999993), PODD (76.9520559999999), META (78.01184000000003), POOL (81.20354799999987)"
"NEM: RMD (50.15551000000003), TGT (51.44678600000003), EL (51.97269299999995), BIO (54.35316600000011), CHTR (55.61613999999994), TRMB (55.74859399999988), RVTY (56.333523000000056), A (59.626772), SBAC (60.25695700000016), QRVO (61.40680900000007)"
"NWSA: PNR (41.09300499999991), NWS (49.31973300000006), BG (58.671112999999934), DVA (58.797492000000105), LH (62.32069), FLT (63.14214000000001), CMCSA (63.701822999999855), COF (64.27315799999998), GS (64.78191599999992), GPC (64.92389300000008)"
"NWS: PNR (47.95256799999983), NWSA (49.31973300000006), DVA (55.16660299999996), MET (55.87650399999994), BG (61.849668), PXD (65.54719999999993), PPG (67.26900799999994), EMN (68.78569600000007), XOM (68.83046799999993), ETR (69.32490399999996)"
"NEE: AWK (38.10185999999998), NDAQ (39.99091300000009), TXN (41.17783799999998), NSC (41.547080000000136), TMO (41.727434000000045), EXR (42.06820799999991), DHR (44.58513100000005), TDY (46.52975299999997), SBAC (47.00751299999998), IEX (47.20633099999992)"
"NKE: WAT (39.697876), CBRE (39.75404800000004), EXR (41.17257), CPT (41.20370899999993), MAA (45.34586800000002), GPN (47.011611), EBAY (47.128939), CCI (47.155372), PLD (47.98960500000007), BAC (48.27366899999992)"
"NI: ED (33.053027999999955), DUK (36.13647300000007), JNJ (37.12123299999997), EVRG (37.61547799999999), AEP (41.52705099999997), ATO (42.01206699999998), BF-B (42.06075800000003), LNT (42.07069699999994), AEE (44.25362799999986), ETR (46.86045900000016)"
"NDSN: TXN (32.766001000000045), J (35.72903900000007), ITW (36.34526000000007), ELV (36.924434), AON (37.43580100000006), ADI (37.59118299999994), APH (39.11431600000002), ADP (39.27075700000008), PAYX (39.73931999999999), CSX (39.78893900000008)"
"NSC: ABT (33.994287999999926), UNP (36.21803400000002), AWK (38.21415999999997), AXP (39.40432400000016), CSX (41.057128999999975), NEE (41.547080000000136), DOV (42.01106100000003), KDP (42.35135099999991), IQV (44.38372199999998), J (48.38049000000006)"
"NTRS: TFC (37.72496799999997), HBAN (46.026210000000034), EMN (48.83245899999994), UDR (53.148977999999886), FFIV (57.56963600000012), GLW (60.925146999999896), DIS (63.161503), CLX (64.36404200000005), TSN (65.61941799999995), MDT (66.33008700000006)"
"NOC: WRB (33.073390999999965), MCD (33.83684500000002), HUM (38.26473999999999), J (38.27893399999997), ORCL (38.91314500000011), ADP (39.21337900000002), RSG (39.58370599999997), PAYX (39.901308), NDSN (41.848222), TXN (43.065159999999885)"
"NCLH: AAL (65.58149799999998), CCL (116.59614300000004), PCG (137.51765800000038), WBA (152.136443), BXP (157.92233000000002), INCY (164.75116600000018), GE (174.72137799999956), VFC (174.919888), WDC (190.03046799999973), MHK (190.88798999999983)"
"NRG: VRTX (61.74968999999982), MAR (63.99742699999993), MCK (66.8841519999999), UNP (67.00367800000005), CME (71.82260800000016), NTAP (72.05693100000005), PKG (72.26320099999988), CNC (72.35826800000007), FCX (72.49775499999984), OKE (73.76139000000003)"
"NUE: ETN (43.84741899999995), IT (45.39027199999996), AZO (49.684867), URI (50.61909599999996), DHI (50.99891100000008), TT (52.39676199999998), HUBB (52.628799999999934), MPC (56.5296260000001), BRO (56.71316400000022), COST (56.86679500000007)"
"NVDA: FICO (70.27484599999988), AVGO (76.14909600000014), AMD (79.23342800000006), ANET (79.9755780000001), CDNS (87.38947899999988), AXON (89.02139300000012), TSLA (91.29672100000003), LLY (93.8776679999996), MSFT (96.51298399999988), KLAC (97.60751799999986)"
